encoder,theme,cid,canon_sign,alt_sign,best_cluster,jaccard,ok
specter2,Parsing,54,-1,-1,54,1.0,1
specter2,MachineTranslation,43,-1,-1,43,1.0,1
specter2,Dialogue,11,-1,-1,11,1.0,1
specter2,QA,68,-1,-1,68,1.0,1
specter2,Summarization,7,-1,-1,7,1.0,1
specter2,Multimodal,6,1,1,6,1.0,1
specter2,Reasoning,72,1,1,72,1.0,1
specter2,Agents,46,1,1,46,1.0,1
specter2,LargeModelTuning,78,1,1,78,1.0,1
specter2,Retrieval,57,1,1,57,1.0,1
specter2,PrefOptimization,39,1,1,39,1.0,1
specter2,LLMReasoning,73,1,1,73,1.0,1
specter2,Adversarial,8,1,1,8,1.0,1
specter2,ModelAdaptation,56,1,1,56,1.0,1
specter2,Social,37,1,1,37,1.0,1
scincl,Parsing,54,-1,-1,96,0.38,1
scincl,MachineTranslation,43,-1,-1,81,0.434,1
scincl,Dialogue,11,-1,-1,84,0.688,1
scincl,QA,68,-1,-1,57,0.497,1
scincl,Summarization,7,-1,-1,18,0.767,1
scincl,Multimodal,6,1,1,1,0.73,1
scincl,Reasoning,72,1,1,87,0.291,1
scincl,Agents,46,1,1,48,0.193,1
scincl,LargeModelTuning,78,1,1,101,0.36,1
scincl,Retrieval,57,1,1,30,0.432,1
scincl,PrefOptimization,39,1,1,14,0.573,1
scincl,LLMReasoning,73,1,1,87,0.052,1
scincl,Adversarial,8,1,1,13,0.703,1
scincl,ModelAdaptation,56,1,1,110,0.126,1
scincl,Social,37,1,1,64,0.181,1
specter1,Parsing,54,-1,-1,65,0.552,1
specter1,MachineTranslation,43,-1,-1,76,0.42,1
specter1,Dialogue,11,-1,-1,41,0.786,1
specter1,QA,68,-1,-1,43,0.419,1
specter1,Summarization,7,-1,-1,10,0.768,1
specter1,Multimodal,6,1,1,46,0.228,1
specter1,Reasoning,72,1,1,82,0.358,1
specter1,Agents,46,1,1,73,0.333,1
specter1,LargeModelTuning,78,1,1,84,0.373,1
specter1,Retrieval,57,1,1,11,0.34,1
specter1,PrefOptimization,39,1,1,77,0.266,1
specter1,LLMReasoning,73,1,1,83,0.173,1
specter1,Adversarial,8,1,1,20,0.502,1
specter1,ModelAdaptation,56,1,1,71,0.479,1
specter1,Social,37,1,-1,67,0.157,0
mpnet,Parsing,54,-1,-1,43,0.654,1
mpnet,MachineTranslation,43,-1,-1,86,0.679,1
mpnet,Dialogue,11,-1,-1,18,0.72,1
mpnet,QA,68,-1,-1,88,0.414,1
mpnet,Summarization,7,-1,-1,9,0.721,1
mpnet,Multimodal,6,1,1,63,0.107,1
mpnet,Reasoning,72,1,1,102,0.348,1
mpnet,Agents,46,1,1,85,0.291,1
mpnet,LargeModelTuning,78,1,1,114,0.356,1
mpnet,Retrieval,57,1,1,46,0.349,1
mpnet,PrefOptimization,39,1,1,91,0.481,1
mpnet,LLMReasoning,73,1,1,103,0.274,1
mpnet,Adversarial,8,1,1,42,0.404,1
mpnet,ModelAdaptation,56,1,1,108,0.171,1
mpnet,Social,37,1,1,36,0.249,1
minilm,Parsing,54,-1,-1,77,0.275,1
minilm,MachineTranslation,43,-1,-1,74,0.639,1
minilm,Dialogue,11,-1,-1,26,0.719,1
minilm,QA,68,-1,-1,79,0.417,1
minilm,Summarization,7,-1,-1,7,0.745,1
minilm,Multimodal,6,1,1,41,0.089,1
minilm,Reasoning,72,1,1,91,0.359,1
minilm,Agents,46,1,1,70,0.344,1
minilm,LargeModelTuning,78,1,1,106,0.27,1
minilm,Retrieval,57,1,1,80,0.336,1
minilm,PrefOptimization,39,1,1,92,0.436,1
minilm,LLMReasoning,73,1,1,91,0.112,1
minilm,Adversarial,8,1,1,28,0.404,1
minilm,ModelAdaptation,56,1,1,102,0.189,1
minilm,Social,37,1,0,36,0.168,0
bge-large,Parsing,54,-1,-1,83,0.546,1
bge-large,MachineTranslation,43,-1,-1,85,0.635,1
bge-large,Dialogue,11,-1,-1,45,0.654,1
bge-large,QA,68,-1,-1,73,0.361,1
bge-large,Summarization,7,-1,-1,29,0.692,1
bge-large,Multimodal,6,1,1,17,0.641,1
bge-large,Reasoning,72,1,1,70,0.207,1
bge-large,Agents,46,1,1,74,0.229,1
bge-large,LargeModelTuning,78,1,1,90,0.157,1
bge-large,Retrieval,57,1,1,31,0.352,1
bge-large,PrefOptimization,39,1,1,58,0.589,1
bge-large,LLMReasoning,73,1,1,71,0.097,1
bge-large,Adversarial,8,1,-1,5,0.336,0
bge-large,ModelAdaptation,56,1,1,96,0.083,1
bge-large,Social,37,1,-1,37,0.181,0
