cluster,cid,DF2020,DF2025,delta_pp,ci_lo,ci_hi,z,p,traj
Syntax and dependency parsing,54,5.1,0.1,-4.9,-6.6,-3.5,-6.0,1.9309354115648603e-09,"[np.float64(5.1), np.float64(3.2), np.float64(1.6), np.float64(1.6), np.float64(0.8), np.float64(0.1)]"
Machine translation,43,6.3,1.9,-4.4,-6.4,-2.4,-4.3,1.602640492315288e-05,"[np.float64(6.3), np.float64(7.2), np.float64(5.1), np.float64(4.1), np.float64(2.7), np.float64(1.9)]"
Dialogue systems,11,8.0,3.9,-4.1,-6.7,-1.9,-3.4,0.0007032012957153277,"[np.float64(8.0), np.float64(9.4), np.float64(5.6), np.float64(8.3), np.float64(3.9), np.float64(3.9)]"
Question answering,68,6.0,2.3,-3.7,-5.7,-1.7,-3.6,0.00028116413817325103,"[np.float64(6.0), np.float64(3.6), np.float64(5.6), np.float64(2.9), np.float64(3.2), np.float64(2.3)]"
Summarization,7,4.0,1.1,-2.9,-4.5,-1.3,-3.6,0.0003002548413357786,"[np.float64(4.0), np.float64(3.6), np.float64(4.9), np.float64(3.5), np.float64(1.6), np.float64(1.1)]"
Multimodal and vision-language,6,4.3,13.4,9.1,6.3,12.0,6.2,5.703506555931881e-10,"[np.float64(4.3), np.float64(5.1), np.float64(7.9), np.float64(8.0), np.float64(10.4), np.float64(13.4)]"
Mathematical and multi-step reasoning,72,0.9,7.6,6.7,4.7,8.8,6.4,1.6791767976087613e-10,"[np.float64(0.9), np.float64(1.5), np.float64(1.9), np.float64(3.5), np.float64(3.5), np.float64(7.6)]"
LLM agents and action policies,46,0.4,4.1,3.7,2.4,5.2,4.9,1.1889140998366798e-06,"[np.float64(0.4), np.float64(0.1), np.float64(0.3), np.float64(0.9), np.float64(1.9), np.float64(4.1)]"
Large-model tuning and inference,78,3.3,8.6,5.2,2.9,7.5,4.3,2.019397980879134e-05,"[np.float64(3.3), np.float64(3.2), np.float64(7.4), np.float64(6.7), np.float64(12.2), np.float64(8.6)]"
Dense retrieval and RAG,57,0.7,3.3,2.7,1.2,4.0,3.7,0.00022544159743631553,"[np.float64(0.7), np.float64(1.9), np.float64(3.1), np.float64(2.0), np.float64(2.7), np.float64(3.3)]"
Preference optimization and alignment,39,0.1,2.8,2.7,1.5,3.9,4.3,1.7412923718485018e-05,"[np.float64(0.1), np.float64(0.1), np.float64(0.0), np.float64(0.1), np.float64(2.1), np.float64(2.8)]"
LLM reasoning behavior,73,0.0,2.7,2.7,1.6,3.9,4.5,6.721155365596587e-06,"[np.float64(0.0), np.float64(0.1), np.float64(0.5), np.float64(1.3), np.float64(2.3), np.float64(2.7)]"
Adversarial robustness,8,3.1,6.0,2.9,0.8,4.9,2.7,0.006320488337387076,"[np.float64(3.1), np.float64(4.8), np.float64(4.4), np.float64(2.0), np.float64(5.5), np.float64(6.0)]"
Model adaptation and efficiency,56,10.0,17.5,7.5,4.0,11.0,4.2,2.6491445637155664e-05,"[np.float64(10.0), np.float64(13.9), np.float64(14.3), np.float64(12.6), np.float64(12.8), np.float64(17.5)]"
Social and political NLP,37,1.5,3.7,2.3,0.7,3.9,2.8,0.005809027234869646,"[np.float64(1.5), np.float64(1.5), np.float64(2.4), np.float64(2.1), np.float64(2.9), np.float64(3.7)]"
