claim_id,paper_id,year,cluster,rep_cluster
0,2021.emnlp-main.602,2021,56,114
1,2021.emnlp-main.602,2021,78,-1
2,2021.emnlp-main.602,2021,56,5
3,2020.emnlp-main.593,2020,53,-1
4,2020.emnlp-main.593,2020,53,61
5,2020.emnlp-main.593,2020,53,-1
6,2023.emnlp-main.50,2023,6,27
7,2023.emnlp-main.50,2023,-1,27
8,2023.emnlp-main.50,2023,56,41
9,2023.emnlp-main.50,2023,11,5
10,2025.emnlp-main.927,2025,-1,45
11,2025.emnlp-main.927,2025,-1,45
12,2025.emnlp-main.927,2025,73,9
13,2025.emnlp-main.927,2025,72,30
14,2020.emnlp-main.490,2020,-1,40
15,2020.emnlp-main.490,2020,-1,103
16,2020.emnlp-main.747,2020,23,111
17,2020.emnlp-main.747,2020,23,-1
18,2020.emnlp-main.747,2020,23,33
19,2020.emnlp-main.747,2020,23,33
20,2022.emnlp-main.341,2022,33,27
21,2022.emnlp-main.341,2022,-1,98
22,2022.emnlp-main.341,2022,53,103
23,2022.emnlp-main.341,2022,15,4
24,2023.emnlp-main.862,2023,1,-1
25,2024.emnlp-main.12,2024,-1,57
26,2024.emnlp-main.12,2024,-1,68
27,2024.emnlp-main.12,2024,72,73
28,2024.emnlp-main.12,2024,-1,6
29,2020.emnlp-main.320,2020,-1,1
30,2020.emnlp-main.320,2020,-1,6
31,2020.emnlp-main.472,2020,-1,1
32,2020.emnlp-main.472,2020,-1,60
33,2020.emnlp-main.472,2020,-1,42
34,2020.emnlp-main.472,2020,48,15
35,2020.emnlp-main.393,2020,-1,89
36,2020.emnlp-main.393,2020,52,-1
37,2020.emnlp-main.393,2020,56,89
38,2021.emnlp-main.691,2021,9,-1
39,2021.emnlp-main.691,2021,9,-1
40,2021.emnlp-main.691,2021,9,14
41,2025.emnlp-main.603,2025,5,-1
42,2025.emnlp-main.603,2025,5,120
43,2025.emnlp-main.603,2025,56,92
44,2025.emnlp-main.603,2025,5,-1
45,2025.emnlp-main.59,2025,6,27
46,2025.emnlp-main.59,2025,6,1
47,2025.emnlp-main.59,2025,6,27
48,2021.emnlp-main.713,2021,-1,70
49,2021.emnlp-main.713,2021,-1,70
50,2021.emnlp-main.713,2021,-1,-1
51,2021.emnlp-main.713,2021,-1,70
52,2023.emnlp-main.1037,2023,34,-1
53,2023.emnlp-main.1037,2023,25,4
54,2023.emnlp-main.1037,2023,34,54
55,2024.emnlp-main.386,2024,12,27
56,2024.emnlp-main.386,2024,12,33
57,2023.emnlp-main.546,2023,56,41
58,2023.emnlp-main.546,2023,47,41
59,2023.emnlp-main.546,2023,56,36
60,2022.emnlp-main.703,2022,64,78
61,2022.emnlp-main.703,2022,8,26
62,2022.emnlp-main.703,2022,78,14
63,2022.emnlp-main.744,2022,35,-1
64,2022.emnlp-main.744,2022,35,101
65,2022.emnlp-main.744,2022,35,-1
66,2022.emnlp-main.19,2022,6,117
67,2022.emnlp-main.19,2022,6,10
68,2024.emnlp-main.7,2024,46,-1
69,2021.emnlp-main.651,2021,8,109
70,2021.emnlp-main.651,2021,8,109
71,2021.emnlp-main.651,2021,8,-1
72,2020.emnlp-main.189,2020,-1,42
73,2020.emnlp-main.189,2020,-1,-1
74,2020.emnlp-main.189,2020,-1,5
75,2020.emnlp-main.189,2020,15,4
76,2023.emnlp-main.501,2023,-1,68
77,2023.emnlp-main.501,2023,-1,58
78,2021.emnlp-main.576,2021,6,3
79,2021.emnlp-main.576,2021,6,3
80,2021.emnlp-main.576,2021,6,3
81,2021.emnlp-main.17,2021,-1,8
82,2021.emnlp-main.17,2021,56,41
83,2021.emnlp-main.17,2021,-1,-1
84,2021.emnlp-main.17,2021,-1,-1
85,2021.emnlp-main.17,2021,58,8
86,2025.emnlp-main.1317,2025,4,34
87,2025.emnlp-main.1317,2025,4,46
88,2025.emnlp-main.1317,2025,4,-1
89,2025.emnlp-main.1317,2025,6,30
90,2025.emnlp-main.1038,2025,72,7
91,2025.emnlp-main.1038,2025,10,7
92,2025.emnlp-main.1038,2025,-1,-1
93,2025.emnlp-main.1038,2025,-1,33
94,2025.emnlp-main.1038,2025,15,4
95,2021.emnlp-main.357,2021,11,-1
96,2021.emnlp-main.357,2021,11,28
97,2021.emnlp-main.357,2021,15,4
98,2021.emnlp-main.175,2021,-1,62
99,2021.emnlp-main.175,2021,-1,-1
100,2021.emnlp-main.175,2021,24,26
101,2021.emnlp-main.175,2021,11,52
102,2025.emnlp-main.875,2025,37,47
103,2025.emnlp-main.875,2025,11,47
104,2021.emnlp-main.572,2021,56,41
105,2021.emnlp-main.572,2021,-1,54
106,2021.emnlp-main.572,2021,15,48
107,2021.emnlp-main.572,2021,15,48
108,2021.emnlp-main.219,2021,-1,8
109,2021.emnlp-main.219,2021,-1,-1
110,2021.emnlp-main.219,2021,-1,8
111,2021.emnlp-main.219,2021,-1,-1
112,2021.emnlp-main.219,2021,-1,8
113,2022.emnlp-main.154,2022,-1,116
114,2022.emnlp-main.154,2022,-1,5
115,2022.emnlp-main.154,2022,-1,5
116,2025.emnlp-main.953,2025,20,112
117,2025.emnlp-main.953,2025,20,116
118,2025.emnlp-main.953,2025,-1,5
119,2025.emnlp-main.953,2025,-1,100
120,2025.emnlp-main.232,2025,46,91
121,2025.emnlp-main.232,2025,-1,16
122,2025.emnlp-main.232,2025,46,-1
123,2025.emnlp-main.232,2025,46,44
124,2025.emnlp-main.232,2025,46,-1
125,2020.emnlp-main.129,2020,10,7
126,2020.emnlp-main.129,2020,10,7
127,2020.emnlp-main.619,2020,30,40
128,2020.emnlp-main.619,2020,30,-1
129,2021.emnlp-main.583,2021,68,25
130,2021.emnlp-main.583,2021,68,70
131,2021.emnlp-main.583,2021,68,25
132,2021.emnlp-main.583,2021,68,25
133,2020.emnlp-main.284,2020,76,8
134,2020.emnlp-main.284,2020,76,8
135,2021.emnlp-main.9,2021,7,1
136,2021.emnlp-main.9,2021,7,79
137,2021.emnlp-main.9,2021,-1,1
138,2021.emnlp-main.9,2021,62,-1
139,2021.emnlp-main.9,2021,62,104
140,2025.emnlp-main.553,2025,-1,5
141,2025.emnlp-main.553,2025,46,86
142,2025.emnlp-main.463,2025,-1,25
143,2025.emnlp-main.463,2025,-1,102
144,2025.emnlp-main.463,2025,-1,120
145,2025.emnlp-main.463,2025,67,-1
146,2025.emnlp-main.463,2025,-1,9
147,2020.emnlp-main.398,2020,56,41
148,2020.emnlp-main.398,2020,56,-1
149,2020.emnlp-main.398,2020,56,41
150,2020.emnlp-main.398,2020,56,48
151,2023.emnlp-main.663,2023,42,0
152,2023.emnlp-main.663,2023,42,0
153,2023.emnlp-main.663,2023,42,0
154,2025.emnlp-main.159,2025,-1,44
155,2025.emnlp-main.159,2025,-1,-1
156,2025.emnlp-main.159,2025,73,9
157,2025.emnlp-main.159,2025,-1,-1
158,2025.emnlp-main.159,2025,-1,69
159,2025.emnlp-main.159,2025,-1,9
160,2024.emnlp-main.264,2024,30,-1
161,2024.emnlp-main.264,2024,30,40
162,2024.emnlp-main.264,2024,-1,33
163,2025.emnlp-main.16,2025,-1,-1
164,2025.emnlp-main.16,2025,-1,-1
165,2025.emnlp-main.16,2025,-1,5
166,2025.emnlp-main.1464,2025,-1,116
167,2025.emnlp-main.1464,2025,-1,-1
168,2025.emnlp-main.1464,2025,23,100
169,2025.emnlp-main.1464,2025,-1,1
170,2023.emnlp-main.607,2023,64,-1
171,2023.emnlp-main.607,2023,64,108
172,2023.emnlp-main.607,2023,52,81
173,2024.emnlp-main.926,2024,-1,-1
174,2024.emnlp-main.926,2024,-1,66
175,2024.emnlp-main.926,2024,-1,66
176,2024.emnlp-main.926,2024,-1,54
177,2024.emnlp-main.926,2024,-1,54
178,2020.emnlp-main.360,2020,-1,12
179,2020.emnlp-main.360,2020,43,93
180,2020.emnlp-main.360,2020,-1,93
181,2020.emnlp-main.360,2020,43,93
182,2024.emnlp-main.351,2024,-1,78
183,2024.emnlp-main.351,2024,6,-1
184,2024.emnlp-main.351,2024,-1,86
185,2024.emnlp-main.351,2024,-1,86
186,2025.emnlp-main.969,2025,72,101
187,2025.emnlp-main.969,2025,78,47
188,2020.emnlp-main.600,2020,-1,-1
189,2020.emnlp-main.600,2020,33,108
190,2020.emnlp-main.600,2020,33,27
191,2021.emnlp-main.539,2021,-1,60
192,2021.emnlp-main.539,2021,43,3
193,2021.emnlp-main.539,2021,-1,60
194,2021.emnlp-main.539,2021,-1,33
195,2021.emnlp-main.539,2021,-1,60
196,2023.emnlp-main.803,2023,68,25
197,2023.emnlp-main.803,2023,-1,89
198,2023.emnlp-main.803,2023,-1,84
199,2023.emnlp-main.803,2023,-1,95
200,2023.emnlp-main.803,2023,-1,84
201,2022.emnlp-main.85,2022,56,1
202,2022.emnlp-main.85,2022,56,48
203,2025.emnlp-main.1041,2025,-1,-1
204,2025.emnlp-main.1041,2025,-1,120
205,2025.emnlp-main.1041,2025,-1,-1
206,2025.emnlp-main.1041,2025,-1,-1
207,2025.emnlp-main.1041,2025,-1,-1
208,2023.emnlp-main.631,2023,11,16
209,2023.emnlp-main.631,2023,11,16
210,2021.emnlp-main.695,2021,-1,51
211,2021.emnlp-main.695,2021,-1,-1
212,2021.emnlp-main.695,2021,-1,-1
213,2022.emnlp-main.483,2022,-1,26
214,2022.emnlp-main.483,2022,-1,91
215,2022.emnlp-main.483,2022,-1,48
216,2025.emnlp-main.590,2025,63,54
217,2025.emnlp-main.590,2025,6,59
218,2025.emnlp-main.590,2025,63,-1
219,2025.emnlp-main.590,2025,6,-1
220,2025.emnlp-main.590,2025,6,-1
221,2021.emnlp-main.101,2021,25,20
222,2021.emnlp-main.101,2021,25,20
223,2021.emnlp-main.101,2021,25,52
224,2021.emnlp-main.101,2021,-1,20
225,2021.emnlp-main.233,2021,23,48
226,2021.emnlp-main.233,2021,23,72
227,2021.emnlp-main.233,2021,23,87
228,2021.emnlp-main.233,2021,23,60
229,2021.emnlp-main.233,2021,23,104
230,2021.emnlp-main.233,2021,23,48
231,2021.emnlp-main.264,2021,-1,70
232,2021.emnlp-main.264,2021,-1,71
233,2021.emnlp-main.264,2021,43,3
234,2021.emnlp-main.264,2021,43,3
235,2021.emnlp-main.264,2021,7,-1
236,2024.emnlp-main.72,2024,78,47
237,2024.emnlp-main.72,2024,-1,-1
238,2024.emnlp-main.72,2024,-1,23
239,2024.emnlp-main.72,2024,39,4
240,2021.emnlp-main.57,2021,-1,27
241,2021.emnlp-main.57,2021,-1,27
242,2021.emnlp-main.57,2021,-1,5
243,2021.emnlp-main.199,2021,3,40
244,2021.emnlp-main.199,2021,3,33
245,2021.emnlp-main.199,2021,3,-1
246,2021.emnlp-main.199,2021,3,-1
247,2021.emnlp-main.199,2021,3,-1
248,2020.emnlp-main.132,2020,-1,8
249,2020.emnlp-main.132,2020,-1,10
250,2020.emnlp-main.132,2020,74,79
251,2020.emnlp-main.132,2020,-1,83
252,2021.emnlp-main.729,2021,12,48
253,2021.emnlp-main.729,2021,12,-1
254,2021.emnlp-main.729,2021,12,-1
255,2021.emnlp-main.729,2021,12,-1
256,2020.emnlp-main.403,2020,-1,83
257,2020.emnlp-main.403,2020,-1,83
258,2020.emnlp-main.403,2020,56,83
259,2020.emnlp-main.403,2020,78,14
260,2020.emnlp-main.736,2020,17,27
261,2020.emnlp-main.736,2020,17,100
262,2020.emnlp-main.736,2020,17,-1
263,2020.emnlp-main.736,2020,17,26
264,2020.emnlp-main.736,2020,17,5
265,2020.emnlp-main.736,2020,17,5
