n_neighbors,n_components,min_cluster_size,min_samples,k,noise,ARI,AMI,sign_agree
30,5,20,5,101,0.4000965250965251,0.8817933296801044,0.9430337173047315,15/15
30,5,20,10,88,0.4638030888030888,0.9297216871265769,0.9605511831852466,15/15
30,5,25,5,87,0.4073962355212355,0.886473495256329,0.9466967344125418,15/15
30,5,25,10,77,0.43406129343629346,0.9101183913170062,0.9557280858860114,15/15
30,5,30,5,76,0.4034749034749035,0.860222726566331,0.9407633201831328,15/15
30,5,30,10,68,0.43207046332046334,0.9127513122435056,0.9568265406151688,15/15
30,10,20,5,111,0.45831322393822393,0.7927922878131185,0.9275684554812182,15/15
30,10,20,10,79,0.43044160231660233,0.9126536582337771,0.9619771994409606,15/15
30,10,25,5,93,0.4487210424710425,0.7970081717282054,0.9294145795502332,15/15
30,10,25,10,72,0.44799710424710426,0.8964772528923135,0.9635040616061463,15/15
30,10,30,5,73,0.4437741312741313,0.7935333016354807,0.9335875759074587,15/15
30,10,30,10,66,0.4271838803088803,0.898835886787306,0.9631066423835055,15/15
40,5,20,5,103,0.49306225868725867,0.8991120327701587,0.9558317427689298,15/15
40,5,20,10,76,0.4777388996138996,0.9250077852762801,0.965816278512133,15/15
40,5,25,5,70,0.4478161196911197,0.8765177667696943,0.9525723857745435,15/15
40,5,25,10,66,0.46000241312741313,0.9495482923049707,0.9742884634982673,15/15
40,5,30,5,63,0.44455839768339767,0.8922637286844566,0.9543327660708701,15/15
40,5,30,10,60,0.4526423745173745,0.9187697393033526,0.9654444894180649,15/15
40,10,20,5,97,0.4876930501930502,0.8429093132121459,0.9518952430099424,15/15
40,10,20,10,84,0.525096525096525,0.8856675848588912,0.963150116277316,15/15
40,10,25,5,82,0.49125241312741313,0.8641936556414747,0.958540279254991,15/15
40,10,25,10,73,0.5083856177606177,0.8823550592596343,0.9620529224107135,15/15
40,10,30,5,75,0.49294160231660233,0.870326603548505,0.9596533546355157,15/15
40,10,30,10,66,0.5147200772200772,0.8908775917702413,0.963148837291545,15/15
50,5,20,5,92,0.47387789575289574,0.9175292465989172,0.9591015082017731,15/15
50,5,20,10,78,0.5092905405405406,0.9333816105799798,0.9658213030601659,15/15
50,5,25,5,83,0.47309362934362936,0.925501003061798,0.962003457112094,15/15
50,5,25,10,69,0.5077823359073359,0.9375051949509818,0.9681832316080187,15/15
50,5,30,5,66,0.4567446911196911,0.8982651590593972,0.9504807339467514,15/15
50,5,30,10,62,0.4896838803088803,0.9117939085955922,0.9584198021360163,15/15
50,10,20,5,84,0.48196187258687256,0.8656388029335139,0.9517012467568688,15/15
50,10,20,10,68,0.454753861003861,0.8794454613199354,0.9532044192767799,15/15
50,10,25,5,74,0.4698962355212355,0.8705735819906256,0.9511961393475834,15/15
50,10,25,10,59,0.42585666023166024,0.9137087510416196,0.9626144712304401,15/15
50,10,30,5,66,0.44594594594594594,0.9151391991731391,0.9636762365154861,15/15
50,10,30,10,54,0.41493725868725867,0.9078070618899662,0.9568680323480768,15/15
