paper_id,year,title,venue,url,authors,author_ids,n_authors,venue_rank
C18-1194,2018,Open Information Extraction from Conjunctive Sentences,coling,https://aclanthology.org/C18-1194/,Swarnadeep Saha; Mausam,swarnadeep-saha; mausam,2,4
C18-1034,2018,A Nontrivial Sentence Corpus for the Task of Sentence Readability Assessment in Portuguese,coling,https://aclanthology.org/C18-1034/,Sidney Evaldo Leal; Magali Sanches Duran; Sandra Maria Aluísio,sidney-evaldo-leal; magali-sanches-duran; sandra-aluisio,3,4
C18-1016,2018,Representation Learning of Entities and Documents from Knowledge Base Descriptions,coling,https://aclanthology.org/C18-1016/,Ikuya Yamada; Hiroyuki Shindo; Yoshiyasu Takefuji,ikuya-yamada; hiroyuki-shindo; yoshiyasu-takefuji,3,4
C18-1310,2018,DIDEC: The Dutch Image Description and Eye-tracking Corpus,coling,https://aclanthology.org/C18-1310/,Emiel van Miltenburg; Ákos Kádár; Ruud Koolen; Emiel Krahmer,emiel-van-miltenburg; kos-k-d-r; ruud-koolen; emiel-krahmer,4,4
C18-1058,2018,Exploiting Structure in Representation of Named Entities using Active Learning,coling,https://aclanthology.org/C18-1058/,Nikita Bhutani; Kun Qian; Yunyao Li; H. V. Jagadish; Mauricio Hernandez; Mitesh Vasa,nikita-bhutani; kun-qian; yunyao-li; h-v-jagadish; mauricio-hernandez; mitesh-vasa,6,4
C18-1184,2018,Joint Neural Entity Disambiguation with Output Space Search,coling,https://aclanthology.org/C18-1184/,Hamed Shahbazi; Xiaoli Fern; Reza Ghaeini; Chao Ma; Rasha Mohammad Obeidat; Prasad Tadepalli,hamed-shahbazi; xiaoli-fern; reza-ghaeini; chao-ma; rasha-mohammad-obeidat; prasad-tadepalli,6,4
C18-1077,2018,Summarization Evaluation in the Absence of Human Model Summaries Using the Compositionality of Word Embeddings,coling,https://aclanthology.org/C18-1077/,Elaheh ShafieiBavani; Mohammad Ebrahimi; Raymond Wong; Fang Chen,elaheh-shafieibavani; mohammad-ebrahimi; raymond-wong; fang-chen,4,4
C18-1120,2018,Incorporating Syntactic Uncertainty in Neural Machine Translation with a Forest-to-Sequence Model,coling,https://aclanthology.org/C18-1120/,Poorya Zaremoodi; Gholamreza Haffari,poorya-zaremoodi; gholamreza-haffari,2,4
C18-1153,2018,Subword-augmented Embedding for Cloze Reading Comprehension,coling,https://aclanthology.org/C18-1153/,Zhuosheng Zhang; Yafang Huang; Hai Zhao,zhuosheng-zhang; yafang-huang; hai-zhao,3,4
C18-1127,2018,Crowdsourcing a Large Corpus of Clickbait on Twitter,coling,https://aclanthology.org/C18-1127/,Martin Potthast; Tim Gollub; Kristof Komlossy; Sebastian Schuster; Matti Wiegmann; Erika Patricia Garces Fernandez; Matthias Hagen; Benno Stein,martin-potthast; tim-gollub; kristof-komlossy; sebastian-schuster; matti-wiegmann; erika-patricia-garces-fernandez; matthias-hagen; benno-stein,8,4
C18-2009,2018,Active DOP: A constituency treebank annotation tool with online learning,coling,https://aclanthology.org/C18-2009/,Andreas van Cranenburgh,andreas-van-cranenburgh,1,4
C18-1040,2018,Interpretation of Implicit Conditions in Database Search Dialogues,coling,https://aclanthology.org/C18-1040/,Shunya Fukunaga; Hitoshi Nishikawa; Takenobu Tokunaga; Hikaru Yokono; Tetsuro Takahashi,shun-ya-fukunaga; hitoshi-nishikawa; takenobu-tokunaga; hikaru-yokono; tetsuro-takahashi,5,4
C18-1305,2018,Source Critical Reinforcement Learning for Transferring Spoken Language Understanding to a New Language,coling,https://aclanthology.org/C18-1305/,He Bai; Yu Zhou; Jiajun Zhang; Liang Zhao; Mei-Yuh Hwang; Chengqing Zong,richard-he-bai; yu-zhou; jiajun-zhang; liang-zhao; mei-yuh-hwang; chengqing-zong,6,4
