paper_id,year,title,venue,url,authors,author_ids,n_authors,venue_rank
N18-1071,2018,Collective Entity Disambiguation with Structured Gradient Tree Boosting,naacl,https://aclanthology.org/N18-1071/,Yi Yang; Ozan Irsoy; Kazi Shefaet Rahman,yi-yang; ozan-irsoy; kazi-shefaet-rahman,3,2
N18-2077,2018,Automated Paraphrase Lattice Creation for HyTER Machine Translation Evaluation,naacl,https://aclanthology.org/N18-2077/,Marianna Apidianaki; Guillaume Wisniewski; Anne Cocos; Chris Callison-Burch,marianna-apidianaki; guillaume-wisniewski; anne-cocos; chris-callison-burch,4,2
N18-2079,2018,Incremental Decoding and Training Methods for Simultaneous Translation in Neural Machine Translation,naacl,https://aclanthology.org/N18-2079/,Fahim Dalvi; Nadir Durrani; Hassan Sajjad; Stephan Vogel,fahim-dalvi; nadir-durrani; hassan-sajjad; stephan-vogel,4,2
N18-1034,2018,Deep Dirichlet Multinomial Regression,naacl,https://aclanthology.org/N18-1034/,Adrian Benton; Mark Dredze,adrian-benton; mark-dredze,2,2
N18-1043,2018,Can Network Embedding of Distributional Thesaurus Be Combined with Word Vectors for Better Representation?,naacl,https://aclanthology.org/N18-1043/,Abhik Jana; Pawan Goyal,abhik-jana; pawan-goyal,2,2
N18-1078,2018,Multimodal Named Entity Recognition for Short Social Media Posts,naacl,https://aclanthology.org/N18-1078/,Seungwhan Moon; Leonardo Neves; Vitor Carvalho,seungwhan-moon; leonardo-neves; vitor-carvalho,3,2
N18-1138,2018,SHAPED: Shared-Private Encoder-Decoder for Text Style Adaptation,naacl,https://aclanthology.org/N18-1138/,Ye Zhang; Nan Ding; Radu Soricut,ye-zhang; nan-ding; radu-soricut,3,2
N18-5016,2018,Know Who Your Friends Are: Understanding Social Connections from Unstructured Text,naacl,https://aclanthology.org/N18-5016/,Léa Deleris; Francesca Bonin; Elizabeth Daly; Stéphane Deparis; Yufang Hou; Charles Jochim; Yassine Lassoued; Killian Levacher,l-a-deleris; francesca-bonin; elizabeth-daly; st-phane-deparis; yufang-hou; charles-jochim; yassine-lassoued; killian-levacher,8,2
N18-2097,2018,A Discourse-Aware Attention Model for Abstractive Summarization of Long Documents,naacl,https://aclanthology.org/N18-2097/,Arman Cohan; Franck Dernoncourt; Doo Soon Kim; Trung Bui; Seokhwan Kim; Walter Chang; Nazli Goharian,arman-cohan; franck-dernoncourt; doo-soon-kim; trung-bui; seokhwan-kim; walter-chang; nazli-goharian,7,2
N18-3020,2018,Multi-lingual neural title generation for e-Commerce browse pages,naacl,https://aclanthology.org/N18-3020/,Prashant Mathur; Nicola Ueffing; Gregor Leusch,prashant-mathur; nicola-ueffing; gregor-leusch,3,2
N18-4008,2018,Igbo Diacritic Restoration using Embedding Models,naacl,https://aclanthology.org/N18-4008/,Ignatius Ezeani; Mark Hepple; Ikechukwu Onyenwe; Enemouh Chioma,ignatius-ezeani; mark-hepple; ikechukwu-onyenwe; enemouh-chioma,4,2
N18-1079,2018,Nested Named Entity Recognition Revisited,naacl,https://aclanthology.org/N18-1079/,Arzoo Katiyar; Claire Cardie,arzoo-katiyar; claire-cardie,2,2
N18-2078,2018,Exploiting Semantics in Neural Machine Translation with Graph Convolutional Networks,naacl,https://aclanthology.org/N18-2078/,Diego Marcheggiani; Jasmijn Bastings; Ivan Titov,diego-marcheggiani; jasmijn-bastings; ivan-titov,3,2
N18-5009,2018,"ELISA-EDL: A Cross-lingual Entity Extraction, Linking and Localization System",naacl,https://aclanthology.org/N18-5009/,Boliang Zhang; Ying Lin; Xiaoman Pan; Di Lu; Jonathan May; Kevin Knight; Heng Ji,boliang-zhang; ying-lin; xiaoman-pan; di-lu; jonathan-may; kevin-knight; heng-ji,7,2
N18-1156,2018,Neural Storyline Extraction Model for Storyline Generation from News Articles,naacl,https://aclanthology.org/N18-1156/,Deyu Zhou; Linsen Guo; Yulan He,deyu-zhou; linsen-guo; yulan-he,3,2
N18-2076,2018,What’s in a Domain? Learning Domain-Robust Text Representations using Adversarial Training,naacl,https://aclanthology.org/N18-2076/,Yitong Li; Timothy Baldwin; Trevor Cohn,yitong-li; timothy-baldwin; trevor-cohn,3,2
N18-1178,2018,Hierarchical Structured Model for Fine-to-Coarse Manifesto Text Analysis,naacl,https://aclanthology.org/N18-1178/,Shivashankar Subramanian; Trevor Cohn; Timothy Baldwin,shivashankar-subramanian; trevor-cohn; timothy-baldwin,3,2
N18-2025,2018,Character-Based Neural Networks for Sentence Pair Modeling,naacl,https://aclanthology.org/N18-2025/,Wuwei Lan; Wei Xu,wuwei-lan; wei-xu,2,2
N18-1010,2018,Attentive Interaction Model: Modeling Changes in View in Argumentation,naacl,https://aclanthology.org/N18-1010/,Yohan Jo; Shivani Poddar; Byungsoo Jeon; Qinlan Shen; Carolyn Rosé; Graham Neubig,yohan-jo; shivani-poddar; byungsoo-jeon; qinlan-shen; carolyn-rose; graham-neubig,6,2
N18-1196,2018,Generating Bilingual Pragmatic Color References,naacl,https://aclanthology.org/N18-1196/,Will Monroe; Jennifer Hu; Andrew Jong; Christopher Potts,will-monroe; jennifer-hu; andrew-jong; christopher-potts,4,2
N18-1056,2018,Robust Cross-Lingual Hypernymy Detection Using Dependency Context,naacl,https://aclanthology.org/N18-1056/,Shyam Upadhyay; Yogarshi Vyas; Marine Carpuat; Dan Roth,shyam-upadhyay; yogarshi-vyas; marine-carpuat; dan-roth,4,2
N18-6002,2018,Deep Learning Approaches to Text Production,naacl,https://aclanthology.org/N18-6002/,Claire Gardent; Shashi Narayan,claire-gardent; shashi-narayan,2,2
N18-4019,2018,Sensing and Learning Human Annotators Engaged in Narrative Sensemaking,naacl,https://aclanthology.org/N18-4019/,McKenna Tornblad; Luke Lapresi; Christopher Homan; Raymond Ptucha; Cecilia Ovesdotter Alm,mckenna-tornblad; luke-lapresi; christopher-homan; raymond-ptucha; cecilia-ovesdotter-alm,5,2
N18-2027,2018,Diachronic Usage Relatedness (DURel): A Framework for the Annotation of Lexical Semantic Change,naacl,https://aclanthology.org/N18-2027/,Dominik Schlechtweg; Sabine Schulte im Walde; Stefanie Eckmann,dominik-schlechtweg; sabine-schulte-im-walde; stefanie-eckmann,3,2
N18-2074,2018,Self-Attention with Relative Position Representations,naacl,https://aclanthology.org/N18-2074/,Peter Shaw; Jakob Uszkoreit; Ashish Vaswani,peter-shaw; jakob-uszkoreit; ashish-vaswani,3,2
N18-3027,2018,Document-based Recommender System for Job Postings using Dense Representations,naacl,https://aclanthology.org/N18-3027/,Ahmed Elsafty; Martin Riedl; Chris Biemann,ahmed-elsafty; martin-riedl; chris-biemann,3,2
N18-1085,2018,Neural Particle Smoothing for Sampling from Conditional Sequence Models,naacl,https://aclanthology.org/N18-1085/,Chu-Cheng Lin; Jason Eisner,chu-cheng-lin; jason-eisner,2,2
N18-2005,2018,Is Something Better than Nothing? Automatically Predicting Stance-based Arguments Using Deep Learning and Small Labelled Dataset,naacl,https://aclanthology.org/N18-2005/,Pavithra Rajendran; Danushka Bollegala; Simon Parsons,pavithra-rajendran; danushka-bollegala; simon-parsons,3,2
N18-1173,2018,Word Emotion Induction for Multiple Languages as a Deep Multi-Task Learning Problem,naacl,https://aclanthology.org/N18-1173/,Sven Buechel; Udo Hahn,sven-buechel; udo-hahn,2,2
N18-1016,2018,Discourse-Aware Neural Rewards for Coherent Text Generation,naacl,https://aclanthology.org/N18-1016/,Antoine Bosselut; Asli Celikyilmaz; Xiaodong He; Jianfeng Gao; Po-Sen Huang; Yejin Choi,antoine-bosselut; asli-celikyilmaz; xiaodong-he; jianfeng-gao; po-sen-huang; yejin-choi,6,2
N18-1133,2018,KBGAN: Adversarial Learning for Knowledge Graph Embeddings,naacl,https://aclanthology.org/N18-1133/,Liwei Cai; William Yang Wang,liwei-cai; william-yang-wang,2,2
N18-1095,2018,Inducing a Lexicon of Abusive Words – a Feature-Based Approach,naacl,https://aclanthology.org/N18-1095/,Michael Wiegand; Josef Ruppenhofer; Anna Schmidt; Clayton Greenberg,michael-wiegand; josef-ruppenhofer; anna-schmidt; clayton-greenberg,4,2
N18-1001,2018,Label-Aware Double Transfer Learning for Cross-Specialty Medical Named Entity Recognition,naacl,https://aclanthology.org/N18-1001/,Zhenghui Wang; Yanru Qu; Liheng Chen; Jian Shen; Weinan Zhang; Shaodian Zhang; Yimei Gao; Gen Gu; Ken Chen; Yong Yu,zhenghui-wang; yanru-qu; liheng-chen; jian-shen; weinan-zhang; shaodian-zhang; yimei-gao; gen-gu; ken-chen; yong-yu,10,2
