claim_id,paper_id,year,venue,cluster,cluster_name
clm_7101bede6e268446,2020.acl-main.79,2020,ACL,-1,
clm_c13167b349a29d57,2020.acl-main.79,2020,ACL,-1,
clm_67837d0ca3506548,2020.acl-main.79,2020,ACL,9,
clm_0423fb03a2115a1c,2020.acl-main.122,2020,ACL,7,
clm_b8ccb4d5620393ef,2020.acl-main.122,2020,ACL,9,
clm_4e08e0b1bdee3b7c,2020.acl-main.122,2020,ACL,75,
clm_3ca70140052c2ede,2020.acl-main.29,2020,ACL,4,
clm_44a29937faa73e03,2020.acl-main.29,2020,ACL,-1,
clm_11990765fb73d18b,2020.acl-main.29,2020,ACL,-1,
clm_78c753ab319ac7d4,2020.acl-main.29,2020,ACL,-1,
clm_f942d8223e9c4eff,2020.acl-main.94,2020,ACL,4,
clm_02902cfe1cd3d0ad,2020.acl-main.94,2020,ACL,4,
clm_1d15818fb09ac94a,2020.acl-main.106,2020,ACL,-1,
clm_3ffd7148e4c5c610,2020.acl-main.106,2020,ACL,-1,
clm_61e1e24a009e3de2,2020.acl-main.106,2020,ACL,32,
clm_0cb29a383b933743,2020.acl-main.46,2020,ACL,-1,
clm_32306203b5238b0b,2020.acl-main.46,2020,ACL,-1,
clm_857a4124d2a89e02,2020.acl-main.46,2020,ACL,-1,
clm_b24a0803258941c6,2020.acl-main.113,2020,ACL,5,
clm_4c5c6530265df79b,2020.acl-main.113,2020,ACL,5,
clm_1e17c87b4c19e61a,2020.acl-main.113,2020,ACL,5,
clm_4f6c393abbd6286f,2020.acl-main.113,2020,ACL,5,
clm_c3345e21b31d82c9,2020.acl-main.7,2020,ACL,68,
clm_7d8266674c9eec06,2020.acl-main.7,2020,ACL,51,
clm_43e87acbc90388d7,2020.acl-main.7,2020,ACL,-1,
clm_f9b6597d2f20760a,2020.acl-main.34,2020,ACL,5,
clm_94cce835bd776a68,2020.acl-main.34,2020,ACL,5,
clm_fbe07f1edeb57d16,2020.acl-main.90,2020,ACL,3,
clm_7efcc0376ef651b8,2020.acl-main.90,2020,ACL,3,
clm_5b6df3253691109a,2020.acl-main.90,2020,ACL,3,
clm_ad4b3c6c41e1e6f0,2020.acl-main.90,2020,ACL,21,
clm_5d4fe76b4c3d8738,2020.acl-main.62,2020,ACL,2,
clm_b31848526ffe5df8,2020.acl-main.62,2020,ACL,2,
clm_fed42d4978186e8b,2020.acl-main.62,2020,ACL,27,
